id,season_2019-2020,league,team_type,club,stadium,capacity,street,postcode,city,federal_state,latitude,longitude,homepage,wikipedia_de,wikipedia_en,openstreetmap_object
22,germany_league_2,2. Bundesliga,1,Hamburger SV,Volksparkstadion,57.000,Sylversterallee 7,22525,Hamburg,HH,53.58717,9.89864,hsv-ev.de,https://de.wikipedia.org/wiki/Hamburger_SV,https://en.wikipedia.org/wiki/Hamburger_SV,https://www.openstreetmap.org/way/19617443
23,germany_league_2,2. Bundesliga,1,1. FC Heidenheim,Voith-Arena,15.000,Schloßhaustraße 162,89522,Heidenheim an der Brenz,BW,48.66845,10.13921,fc-heidenheim.de,https://de.wikipedia.org/wiki/1._FC_Heidenheim,https://en.wikipedia.org/wiki/1._FC_Heidenheim,https://www.openstreetmap.org/way/681162690
24,germany_league_2,2. Bundesliga,1,Holstein Kiel,Holstein-Stadion,15.034,Westring 501,24106,Kiel,SH,54.34918,10.12370,holstein-kiel.de,https://de.wikipedia.org/wiki/Holstein_Kiel,https://en.wikipedia.org/wiki/Holstein_Kiel,https://www.openstreetmap.org/relation/277125
25,germany_league_2,2. Bundesliga,1,Arminia Bielefeld,SchücoArena,26.515,Melanchthonstraße 31A,33615,Bielefeld,NW,52.03203,8.51674,arminia-bielefeld.de,https://de.wikipedia.org/wiki/Arminia_Bielefeld,https://en.wikipedia.org/wiki/Arminia_Bielefeld,https://www.openstreetmap.org/way/19738505
26,germany_league_2,2. Bundesliga,1,SSV Jahn Regensburg,Continental Arena,15.210,Franz-Josef-Strauß-Allee 22,93053,Regensburg,BY,48.99080,12.10741,ssv-jahn.de,https://de.wikipedia.org/wiki/SSV_Jahn_Regensburg,https://en.wikipedia.org/wiki/SSV_Jahn_Regensburg,https://www.openstreetmap.org/relation/5990703
27,germany_league_2,2. Bundesliga,1,FC St. Pauli,Millerntor-Stadion,29.546,Harald-Stender-Platz 1,20359,Hamburg,HH,53.55458,9.96773,fcstpauli.com,https://de.wikipedia.org/wiki/FC_St._Pauli,https://en.wikipedia.org/wiki/FC_St._Pauli,https://www.openstreetmap.org/way/381109520
28,germany_league_2,2. Bundesliga,1,SV Darmstadt 98,Merck-Stadion am Böllenfalltor,11.000,Nieder-Ramstädter Straße 170,64285,Darmstadt,HE,49.85773,8.67239,sv98.de,https://de.wikipedia.org/wiki/SV_Darmstadt_98,https://en.wikipedia.org/wiki/SV_Darmstadt_98,https://www.openstreetmap.org/node/5895693869
29,germany_league_2,2. Bundesliga,1,VfL Bochum,Vonovia Ruhrstadion,27.599,Castroper Straße 145,44791,Bochum,NW,51.48991,7.23647,vfl-bochum.de,https://de.wikipedia.org/wiki/VfL_Bochum,https://en.wikipedia.org/wiki/VfL_Bochum,https://www.openstreetmap.org/way/18690902
30,germany_league_2,2. Bundesliga,1,Dynamo Dresden,Rudolf-Harbig-Stadion,32.066,Lennéstraße 12,01069,Dresden,SN,51.04090,13.74804,dynamo-dresden.de,https://de.wikipedia.org/wiki/Dynamo_Dresden,https://en.wikipedia.org/wiki/Dynamo_Dresden,https://www.openstreetmap.org/way/101383573
31,germany_league_2,2. Bundesliga,1,SpVgg Greuther Fürth,Sportpark Ronhof Thomas Sommer,18.000,Laubenweg 60,90765,Fürth,BY,49.48700,10.99921,greuther-fuerth.de,https://de.wikipedia.org/wiki/SpVgg_Greuther_Fürth,https://en.wikipedia.org/wiki/SpVgg_Greuther_Fürth,https://www.openstreetmap.org/way/106578003
